cid,first_name,last_name,sid,username,password
10001,Peter,Parker,30001,pparker,parker
10002,Diana,Prince,30001,dprince,prince
10053,Billy,Batson,30002,bbatson,batson
10010,Bruce,Wayne,30002,bwayne,wayne
10001,Steve,Rogers,30002,srogers,rogers
10035,Happy,Hogan,30002,hhogan,hogan
10002,Tony,Stark,30003,tstark,stark
10003,Natasha,Romanoff,30003,nromanoff,romanoff
10011,Harvey,Bullock,30003,hbullock,bullock
10062,Sam,Wilson,30003,swilson,wilson
10501,Wanda,Maximoff,30003,wmaximoff,maximoff
10010,Virginia,Potts,30003,vpotts,potts
